Item ID,Name,Description,Image,Category,Vendor,Purchase Cost,Sale Price,Location,Stock,Minimum Inventory,¿Discontinued?,UOM
MTTO-0054,"BISAGRA TUBULAR SOLDABLE 1/2"" X 2 1/8""",BISAGRA TABULAR 1/2,Items_Images/MTTO-0054.Image.214931.png,CAT003,PROV001,,,LOC0046,0,1,FALSE,PIEZAS
MTTO-0055,LAMINA DE METAL ANTIDERRAPANTE 1.25MTS X 3MTS X 2MM,LAMINA DE METAL 1.25MTS,Items_Images/MTTO-0055.Image.214303.png,db498a61,,,,7066317f,12,1,FALSE,PIEZAS
MTTO-0056,"BISAGRA PARA PUERTA 3"" X 3""",BISAGRA PARA PUERTA 3X3,Items_Images/MTTO-0056.Image.143930.png,CAT003,PROV001,,,LOC0010,0,1,FALSE,PIEZAS
MTTO-0057,"CLAVIJA DE MEDIA VUELTA 3 FASES, 1 TIERRA, NEMA L16-20",CLAVIJA DE MEDIA VUELTA,Items_Images/MTTO-0057.Image.152907.png,CAT003,,,,LOC0053,0,1,FALSE,PIEZAS
MTTO-0058,JUEGO DE FRESAS DE CARBURO PARA MOTOTOOL 20PZA,"DESBASTAR, CORTAR Y PULIR MATERIALES DUROS",Items_Images/MTTO-0058.Image.165619.png,CAT001,PROV001,,,,0,1,FALSE,PIEZAS
MTTO-0059,"RESISTENCIA CARTUCHO 3/8"" X 27.55"", 780W, 220V",RESISTENCIA CALEFACTORA,Items_Images/MTTO-0059.Image.222130.png,CAT003,a5e797e4,,,LOC0033,0,1,FALSE,PIEZAS
MTTO-0060,"RESISTENCIA CARTUCHO 155 MM X 19.90 MM, 1100W, 440V",RESISTENCIA CALEFACTORA,Items_Images/MTTO-0060.Image.150449.jpg,CAT003,a5e797e4,,,LOC0034,6,1,FALSE,PIEZAS
MTTO-0061,"RESISTENCIA CARTUCHO 170 MM X 16.90 MM, 600W, 260V",RESISTENCIA CALEFACTORA,Items_Images/MTTO-0061.Image.144220.jpg,CAT003,a5e797e4,,,LOC0034,22,1,FALSE,PIEZAS
MTTO-0062,"RESISTENCIA CARTUCHO 160 MM X 11.90 MM, 600W, 250V",RESISTENCIA CALEFACTORA,Items_Images/MTTO-0062.Image.144335.jpg,CAT003,a5e797e4,,,LOC0034,1,1,FALSE,PIEZAS
MTTO-0063,"BROCA ALTA VELOCIDAD 7/16"" ENTRADAD DE 1/2""",BROCA USO GENERAL,Items_Images/MTTO-0063.Image.135944.png,CAT001,PROV001,,,c44b408e,2,1,FALSE,PIEZAS
MTTO-0064,"VALVULA SOLENOIDE 220V AB41-03-5-B2E-AC220V, CKD",VALVULA SOLENOIDE,Items_Images/MTTO-0064.Image.152553.png,CAT004,,,,LOC0081,1,1,FALSE,PIEZAS
MTTO-0065,FLUXOMETRO DE BOTON PARA MIGITORIO 4401,FLUXOMETRO DE BOTON,Items_Images/MTTO-0065.Image.215013.jpg,CAT007,,,,LOC0011,0,1,FALSE,PIEZAS
MTTO-0066,AIRE COMPRIMIDO LATA 330ML (REMOVEDOR DE POLVO),AIRE COMPRIMIDO,Items_Images/MTTO-0066.Image.160530.jpg,CAT002,,,,LOC0004,0,1,FALSE,PIEZAS
MTTO-0067,"CONECTOR MACHO POW STS 6 6,0 40AG, 70.210.0653",CONECTOR MACHO,Items_Images/MTTO-0067.Image.233125.png,CAT006,,,,LOC0099,0,1,FALSE,PIEZAS
MTTO-0068,MANGUERA NEUMATICA NARANJA EXTENSIBLE,MANGUERA,Items_Images/MTTO-0068.Image.213940.png,CAT004,2c6c8db2,,,LOC0083,9,1,FALSE,PIEZAS
MTTO-0069,PALETAS DE BAQUELITA 220MM X 57MM X 6MM (B#2),PALETAS PARA BOMBAS,,,,,,,0,1,FALSE,PIEZAS
MTTO-0070,"SILENCIADORES DE AIRE 1/4"" NPT",SILENCIADOR NEUMATICO DE BRONCE SINTERIZADO,Items_Images/MTTO-0070.Image.211059.png,CAT010,,,,LOC0083,7,1,FALSE,PIEZAS
MTTO-0071,"CONTACTO AUXILIAR SCHNEIDER LANN20N, NO-NO",CONTACTO LANN20N NO-NO,Items_Images/MTTO-0071.Image.203539.jpg,CAT006,1ce673ed,,,LOC0076,4,1,FALSE,PIEZAS
MTTO-0072,"CONTACTO AUXILIAR SIEMENS 3RH2921-1DA11, NO-NC",CONTACTO 1DA11 NO-NC,Items_Images/MTTO-0072.Image.203958.jpg,CAT006,1ce673ed,,,LOC0076,2,1,FALSE,PIEZAS
MTTO-0073,"CONTACTO AUXILIAR SCHNEIDER LANN11N, NO-NC",CONTACTO LANN11N NO-NC,Items_Images/MTTO-0073.Image.204148.jpg,CAT006,1ce673ed,,,LOC0076,1,1,FALSE,PIEZAS
MTTO-0074,SOPORTE PARA EXTINTORES,SOPORTE PARA EXTINTORES,Items_Images/MTTO-0074.Image.134128.png,CAT002,,,,LOC0052,10,1,FALSE,PIEZAS
MTTO-0075,"CLAVIJA DE MEDIA VUELTA 3 FASES, 1 TIERRA, NEMA L19-30",CLAVIJA DE MEDIA VUELTA PARA REVOLVEDORAS CHICAS ESTANDAR,Items_Images/MTTO-0075.Image.141323.png,CAT006,,,,LOC0053,4,1,FALSE,PIEZAS
MTTO-0076,RETEN 3547-7 VITON,RETEN DE VITON,Items_Images/MTTO-0076.Image.165107.jpg,CAT008,32918d31,,,LOC0015,14,1,FALSE,PIEZAS
MTTO-0077,BANDAS B-125,BANDAS B-125,Items_Images/MTTO-0077.Image.151906.jpg,CAT003,e0a455a9,,,LOC0014,9,1,FALSE,PIEZAS
MTTO-0078,CABLE 25HILOS CALIBRE 20AWG,CABLE 25 HILOS,Items_Images/MTTO-0078.Image.213931.png,CAT006,,,,LOC0069,0,1,FALSE,METROS
MTTO-0079,"SILENCIADORES DE AIRE 1/8"" NPT",SILENCIADOR NEUMATICO DE BRONCE SINTERIZADO,Items_Images/MTTO-0079.Image.211242.png,CAT010,,,,LOC0083,5,1,FALSE,PIEZAS
MTTO-0080,CABLE UNIPOLAR NEGRO CALIBRE 12AWG,CABLE UNIPOLAR NEGRO CALIBRE 12AWG,Items_Images/MTTO-0080.Image.215313.jpg,CAT006,,,,LOC0069,130,1,FALSE,METROS
MTTO-0081,CABLE PARA TERMOPARES ACERADO DE 2HILOS,CABLE DOS HILOS,Items_Images/MTTO-0081.Image.182406.png,CAT006,,,,LOC0054,1,1,FALSE,METROS
MTTO-0082,CONTACTO DUPLEX ALTA RESISTENCIA 125V-20A,CONTACTO DUPLEX COMPLETOS 125V-20A,Items_Images/MTTO-0082.Image.144605.jpg,CAT006,PROV001,,,LOC0071,1,1,FALSE,PIEZAS
MTTO-0083,"TERMOMETRO BIMETALICO RG-1350-03406, CARATULA 3"", VASTAGO 6"", CONEXION 1/2"" NPTF, 0-300°C",TERMOMETRO,Items_Images/MTTO-0083.Image.134907.jpg,CAT003,,,,LOC0100,2,1,FALSE,PIEZAS
MTTO-0084,SIERRA CIRCULAR SC907A,CORTADORA USO GENERAL,Items_Images/MTTO-0084.Image.213609.png,CAT001,PROV001,,,7066317f,0,1,FALSE,PIEZAS
MTTO-0085,"CINTA DE ALUMINIO 2"" X 50YDS",CINTA DE ALUMINIO PARA SELLADO DE TUBERIAS DE ALIMENTADORES,Items_Images/MTTO-0085.Image.152132.jpg,CAT002,PROV001,,,218b4280,4,1,FALSE,PIEZAS
MTTO-0086,CINTA SCOTCH BLUE #2090,CINTA DE PAPEL AZUL,Items_Images/MTTO-0086.Image.164502.jpg,CAT002,PROV001,,,LOC0120,0,1,FALSE,PIEZAS
MTTO-0087,CINTA DELIMITADORA DE AREA NEGRO-AMARILLO,CINTA DELIMITADORA,Items_Images/MTTO-0087.Image.193003.jpg,CAT002,PROV001,,,LOC0093,0,1,FALSE,PIEZAS
MTTO-0088,HOJA LIJA DE ESMERIL GRANO 80,HOJA DE LIJA GRAND 80,Items_Images/MTTO-0088.Image.164014.jpg,CAT002,,,,LOC0106,28,1,FALSE,PIEZAS
MTTO-0089,HOJA LIJA DE AGUA GRANO 1200,HOJA LIJA DE AGUA 1200,Items_Images/MTTO-0089.Image.164310.jpg,CAT002,,,,LOC0106,99,1,FALSE,PIEZAS
MTTO-0090,"DISCO CORTE PARA CONCRETO 4 1/2""",DISCO PARA EMSERILADORA ANGULAR,Items_Images/MTTO-0090.Image.143910.png,CAT002,PROV001,,,LOC0106,0,1,FALSE,PIEZAS
MTTO-0091,"CEPILLO DE ALAMBRE ONDULADO, CARDA 6""",USO GENERAL,Items_Images/MTTO-0091.Image.224257.jpg,CAT002,PROV001,,,LOC0106,1,1,FALSE,PIEZAS
MTTO-0092,"RUEDA DE ESMERIL DE 6"" X 1/2"" X 1"" GRANO 60",ESMERIL USO GENERAL,Items_Images/MTTO-0092.Image.223500.jpg,CAT002,,,,LOC0106,2,1,FALSE,PIEZAS
MTTO-0093,"DISCO CORTE PARA MADERA 7 1/4""",DISCO PARA CORTADORA DE BANCO,Items_Images/MTTO-0093.Image.143756.png,CAT002,PROV001,,,LOC0106,0,1,TRUE,PIEZAS
MTTO-0094,VENTILADOR 15050B2HT 220-240V,VENTILADORES PARA LOS HORNOS SECADORES,Items_Images/MTTO-0094.Image.165345.jpg,CAT003,1ce673ed,,,LOC0101,0,1,FALSE,PIEZAS
MTTO-0095,"TRANSFORMADOR 220V-36V, BK-25VA",TRANSFORMADOR 220V-36V,Items_Images/MTTO-0095.Image.192821.jpg,CAT006,,,,LOC0063,3,1,FALSE,PIEZAS
MTTO-0096,CINTA PAPEL PARA JUNTAS PANEL REY 5.3 X 76.25 CM,CINTA PARA TRABAJOS DE TABLAROCA,Items_Images/MTTO-0096.Image.141752.png,CAT002,PROV001,,,LOC0093,13,1,FALSE,METROS
MTTO-0097,"CINTA MASKING 1""",CINTA MASKING,Items_Images/MTTO-0097.Image.165003.jpg,CAT002,PROV001,,,LOC0120,3,1,FALSE,PIEZAS
MTTO-0098,"CORDON DE TEFLON GRAFITADO CUADRADO 1/2""",CORDON DE TEFLON,Items_Images/MTTO-0098.Image.154829.jpg,CAT002,,,,LOC0003,3,1,FALSE,METROS
MTTO-0099,"VALVULA CHECK DE LATON 2""",VALVULA,Items_Images/MTTO-0099.Image.163429.png,CAT007,,,,e3c7b211,1,1,FALSE,PIEZAS
MTTO-0100,INTERRUPTOR TERMOMAGNETICO RIEL DIN 63AMP 3 FASES,INTERRUPTOR TERMOMAGNETICO,Items_Images/MTTO-0100.Image.192952.jpg,CAT006,1ce673ed,,,LOC0064,2,1,FALSE,PIEZAS
MTTO-0101,PORTAFUSIBLE 32AMP 3 POLOS 10X38MM,PORTAFUSIBLE 3 POLOS,Items_Images/MTTO-0101.Image.193148.jpg,CAT006,1ce673ed,,,LOC0064,6,1,FALSE,PIEZAS
MTTO-0102,"INTERRUPTOR TERMOMAGNETICO RIEL DIN 4AMP, 3 FASES",INTERRUPTOR TERMOMAGNETICO,Items_Images/MTTO-0102.Image.145004.png,CAT006,1ce673ed,,,LOC0064,0,1,FALSE,PIEZAS
MTTO-0103,PORTAFUSIBLE 125AMP 1 POLO 22X58MM,PORTAFUSIBLE 125AMP,Items_Images/MTTO-0103.Image.193421.jpg,CAT006,1ce673ed,,,LOC0064,4,1,FALSE,PIEZAS
MTTO-0104,"CONECTOR RAPIDO NEUMATICO RECTO MACHO 3/8"" NPT A MANGUERA 6MM",CONECTOR RAPIDO NEUMATICO,Items_Images/MTTO-0104.Image.191750.png,CAT004,2c6c8db2,,,LOC0083,10,1,FALSE,PIEZAS
MTTO-0105,"CONTACTOR TRIFASICO SIEMENS 110V, 3RT2026-1AK60",CONTACTOR TRIFASICO,Items_Images/MTTO-0105.Image.221258.jpg,CAT006,1ce673ed,,,LOC0076,0,1,FALSE,PIEZAS
MTTO-0106,"INTERRUPTOR TERMOMAGNETICO RIEL DIN 20AMP, 3 FASES",INTERRUPTOR TERMOMAGNETICO 3 FASES,Items_Images/MTTO-0106.Image.145253.jpg,CAT006,1ce673ed,,,LOC0064,2,1,FALSE,PIEZAS
MTTO-0107,RELEVADOR ESTADO SOLIDO 50AMP 1POLO-SAP4050D-4-32VDC.,RELEVADOR DE ESTADO SOLIDO 50 AMP,Items_Images/MTTO-0107.Image.194800.jpg,CAT006,1ce673ed,,,LOC0058,6,1,FALSE,PIEZAS
MTTO-0108,PISTON NEUMATICO SDA- 40X100,PISTON SDA,Items_Images/MTTO-0108.Image.140852.jpg,CAT006,,,,LOC0082,2,1,FALSE,PIEZAS
MTTO-0109,"CONTACTOR TRIFASICO SIEMENS 110V, 3RT2017-1AK61",CONTACTOR TRIFASICO,Items_Images/MTTO-0109.Image.165633.jpg,CAT006,1ce673ed,,,LOC0076,3,1,FALSE,PIEZAS
MTTO-0110,"INTERRUPTOR TERMOMAGNETICO RIEL DIN 50AMP, 3 FASES",INTERRUPTOR TERMOMAGNETICO,Items_Images/MTTO-0110.Image.145239.png,CAT006,1ce673ed,,,LOC0063,0,1,FALSE,PIEZAS
MTTO-0111,"CONTACTOR TRIFASICO ANDELI 36V, CJX2-1201",CONTROL ELECTRICO,Items_Images/MTTO-0111.Image.170001.jpg,CAT006,1ce673ed,,,LOC0076,1,1,FALSE,PIEZAS
MTTO-0112,"CAUDALIMETRO LZM-25 20-170LPM, 1""BSPT",CAUDALIMETRO,Items_Images/MTTO-0112.Image.162557.png,CAT004,,,,LOC0093,3,1,FALSE,PIEZAS
MTTO-0113,"VALVULA SOLENOIDE 220V ADCCOM PU225 SS 03, 0-10KGF/CM2",VALVULA SOLENOIDE 220V,Items_Images/MTTO-0113.Image.150310.jpg,CAT005,,,,LOC0081,17,1,FALSE,PIEZAS
MTTO-0114,"CONTACTOR TRIFASICO SIEMENS 220V, 3RU1116-1GB0",CONTACTOR TRIFASICO,Items_Images/MTTO-0114.Image.222228.jpg,CAT006,1ce673ed,,,LOC0076,1,1,FALSE,PIEZAS
MTTO-0115,"RELE TERMOMAGNETICO SIEMENS, 20-25A, 3RU2126-4DB0",RELE TERMOMAGNETICO,Items_Images/MTTO-0115.Image.153654.jpg,CAT006,1ce673ed,,,LOC0076,4,1,FALSE,PIEZAS
MTTO-0116,"RELE TERMOMAGNETICO SIEMENS, 7-10A, 3RU2116-1JB0",RELE TERMOMAGNETICO,Items_Images/MTTO-0116.Image.155151.jpg,CAT006,1ce673ed,,,LOC0076,6,1,FALSE,PIEZAS
MTTO-0117,ACOPLAMIENTO ESTRELLA  L090,COMPONENTE MECÁNICO UTILIZADO PARA CONECTAR DOS EJES,Items_Images/MTTO-0117.Image.184138.png,CAT003,,,,LOC0074,1,1,FALSE,PIEZAS
MTTO-0118,"DISYUNTOR TRIFASICO SIEMENS, 10-16A, 3RV2021-4AA15",CONTACTOR USO GENERAL,Items_Images/MTTO-0118.Image.143615.png,CAT006,1ce673ed,,,LOC0064,0,1,FALSE,PIEZAS
MTTO-0119,"CONTACTOR TRIFASICO SIEMENS 220V, 3RU2116-1HB0",CONTACTOR TRIFASICO,Items_Images/MTTO-0119.Image.222626.jpg,CAT006,1ce673ed,,,LOC0076,1,1,FALSE,PIEZAS
MTTO-0120,"DISYUNTOR TRIFASICO SCHNEIDER, 6-10A, GZ1N14N",DISYUNTOR TRIFASICO,Items_Images/MTTO-0120.Image.161115.jpg,CAT006,1ce673ed,,,LOC0076,1,1,FALSE,PIEZAS
