ID,Name,Logo,URL,Phone,Email,Address
955f69ca,STEREN,Vendors_Images/955f69ca.Logo.170025.png,https://www.steren.com.mx/?utm_term=steren&utm_campaign=Search+-+Branded+(Desktop)&utm_source=adwords&utm_medium=ppc&hsa_acc=3543146321&hsa_cam=9713662552&hsa_grp=103182288167&hsa_ad=533151826465&hsa_src=g&hsa_tgt=kwd-25652572&hsa_kw=steren&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=1&gad_campaignid=9713662552&gbraid=0AAAAAD0abDSizjPmdwZF6Ujo9YaUNb20_&gclid=CjwKCAiAkbbMBhB2EiwANbxtbSQk1wEvLGP0n4YtqLuEPyegIHcwWabMmttDf0MukznsBxHsHm4BtxoC7k8QAvD_BwE,3336278019,info@steren.com.mx,"Technology Park Guadalajara, 45222 Technology Park Guadalajara, Jal., México"
43fc8600,EMPAQUES Y SOLUCIONES INDUSTRIALES,Vendors_Images/43fc8600.Logo.140705.png,,3310048914,ventas3@shsolucionesindustriales.com,"Loma Fría Sur 7920, Loma Dorada Delegación a, 45402 Tonalá, Jal., México"
32918d31,DIBAL,Vendors_Images/32918d31.Logo.143957.png,http://www.dibalgdl.com,3338112405,luzsanchez@dibalgdl.com,"C. Francisco de Orellana 2692, Computec Express, 44930 Guadalajara, Jal., México"
bc0b8156,OVARA INDUSTRIAL,Vendors_Images/bc0b8156.Logo.150301.png,https://www.ovaraindustrial.com/,3317998661,contacto@ovaraindustrial.com,"Uranio 100, Minerales, 45694 Las Pintitas, Jal., México"
3591db66,AMBAR CARGO,Vendors_Images/3591db66.Logo.211136.png,https://ambarcargo.com/,3330019001,administracion@ambarcargo.com,"Av. Circunvalación Agustín Yáñez 455, La Aurora, 44460 Guadalajara, Jal., México"
1a085ed4,CBS COMPRESORES,Vendors_Images/1a085ed4.Logo.153317.png,https://cbscompresores.com.mx/,3320141340,Accesorios@cbscompresores.com.mx,"Av. Washington 1212, Moderna, 44190 Guadalajara, Jal., México"
fc5645e9,EL TORNILLO PAR,Vendors_Images/fc5645e9.Logo.204758.png,https://elreydeltornillo.com/,3336820869,sincorreo@tornillorey.com.mx,"Av Vallarta Eje Poniente 532, San Juan de Ocotán, 45019 Zapopan, Jal., México"
d8419d6c,WORLD OF SEALS (MUNDO DE SELLOS),Vendors_Images/d8419d6c.Logo.161402.png,https://www.emds.mx/nosotros.html,33 1368 9333,sincorreo@mundodesellos.com.mx,"Av España 1560B, Moderna, 44190 Guadalajara, Jal., México"
f0d77596,POWERDEPOT,Vendors_Images/f0d77596.Logo.191846.png,https://powerdepot.com.mx/,3336157256,ivallejo@powerdepot.mx,"Av. Washington 59-A, Ferrocarril, 44440 Guadalajara, Jal., México"
344207b0,KLIMAN PARKER STORE,Vendors_Images/344207b0.Logo.191102.png,https://www.kliman.com.mx/,3338529731,sincorreo@kliman.com,"Carr a Nogales #5040, San Juan de Ocotán, 45222 Zapopan, Jal., México"
a76a9899,SERVO MOTION,Vendors_Images/a76a9899.Logo.191759.png,https://www.servomotion-solution.com/,3324397694,notifications@norma.odoo.com,"C. Miguel Velazquez Mancilla, 53320 Naucalpan de Juárez, Méx., México"
